checking_account,duration,credit_history,purpose,amount,savings_account,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,gender,profit
3,18,0,2,1049,4,2,2,2,3,1,21,1,0,0,1,0,0,0,female,242
3,9,0,5,2799,4,0,1,2,0,3,36,1,0,1,1,1,0,0,male,596
0,12,4,8,841,0,1,1,2,3,3,23,1,0,0,3,0,0,0,female,25
3,12,0,5,2122,4,0,0,2,0,3,39,1,0,1,3,1,0,1,male,568
3,12,0,5,2171,4,0,2,2,3,1,38,0,2,1,3,0,0,1,male,782
3,10,0,5,2241,4,2,3,2,1,3,48,1,0,1,3,1,0,1,male,737
3,8,0,5,3398,4,1,3,2,3,3,39,1,2,1,3,0,0,1,male,759
3,6,0,5,1361,4,2,1,2,3,3,40,1,2,0,3,1,0,1,male,328
1,18,0,4,1098,4,4,2,2,3,0,65,1,2,1,2,0,0,0,female,223
0,24,4,4,3758,2,4,3,2,3,2,23,1,0,0,2,0,0,0,female,30
3,11,0,5,3905,4,0,1,2,0,3,36,1,0,1,1,1,0,0,male,870
3,30,0,1,6187,0,1,3,2,3,0,24,1,0,1,1,0,0,0,female,1834
3,6,0,4,1957,4,1,3,2,3,0,31,1,2,0,1,0,0,0,female,31
0,48,3,0,7582,0,4,1,2,3,2,31,1,2,0,0,0,1,0,male,2053
3,18,4,4,1936,1,1,1,2,3,0,23,1,0,1,3,0,0,0,female,90
3,6,4,4,2647,2,0,1,2,1,3,44,1,0,0,1,1,0,0,male,555
3,11,0,5,3939,4,0,3,2,0,3,40,1,2,1,3,1,0,0,male,381
0,18,4,4,3213,2,2,3,2,1,3,25,1,0,0,1,0,0,0,female,6
0,36,0,4,2337,4,3,2,2,3,3,36,1,2,0,1,0,0,0,male,174
1,11,0,5,7228,4,0,3,2,3,1,39,1,2,1,3,0,0,0,male,78
3,6,0,5,3676,4,0,3,2,1,3,37,1,0,2,1,1,0,0,male,1361
0,12,0,5,3124,4,2,3,2,1,3,49,0,2,1,3,1,0,0,male,463
0,36,4,3,2384,4,2,2,2,2,2,33,1,0,0,3,0,0,0,male,-502
0,12,0,6,1424,4,1,2,2,1,1,26,1,2,0,1,0,0,0,male,399
3,6,0,5,4716,1,2,3,2,1,3,44,1,2,1,3,1,0,0,male,771
0,11,3,4,4771,4,1,1,2,3,1,51,1,2,0,1,0,0,0,nonbinary/notreported,585
3,12,4,2,652,4,3,2,2,3,1,24,1,0,0,1,0,0,0,female,0
0,9,0,4,1154,4,3,1,2,3,3,37,1,2,2,3,0,0,0,nonbinary/notreported,229
1,15,4,5,3556,1,0,0,2,0,2,29,1,2,0,1,0,0,0,male,639
2,42,0,1,4796,4,3,2,2,3,2,56,1,1,0,1,0,0,0,male,1038
2,30,0,4,3017,4,3,2,2,3,1,47,1,2,0,1,0,0,0,male,439
1,36,0,5,3535,4,1,2,2,3,0,37,1,2,1,1,0,1,0,male,640
1,36,0,5,6614,4,3,2,2,3,0,34,1,2,1,0,0,1,0,male,1666
1,24,4,4,1376,2,1,2,2,2,0,28,1,2,0,1,0,0,0,female,307
3,15,4,5,1721,4,2,1,2,1,3,36,1,2,0,1,0,0,0,male,386
3,6,0,5,860,4,3,3,2,3,2,39,1,2,1,1,0,1,0,female,250
1,12,0,5,1495,4,3,2,2,2,3,38,1,2,1,3,1,0,0,male,242
1,12,0,4,1934,4,3,1,2,0,2,26,1,2,1,1,0,0,0,male,460
1,18,4,1,3378,1,0,1,2,2,1,31,1,2,0,1,0,1,0,male,869
1,24,0,1,3868,4,3,2,2,0,0,41,1,0,1,0,0,1,0,female,583
1,12,0,3,996,1,1,2,2,3,3,23,1,2,1,1,0,0,0,female,21
3,24,4,0,1755,4,3,2,1,3,3,58,1,2,0,3,0,1,0,female,563
1,18,0,5,1028,4,0,2,2,1,3,36,1,2,1,1,0,0,0,female,327
0,24,0,8,2825,1,1,2,2,1,2,34,1,2,1,1,1,1,0,male,204
0,18,4,7,1239,1,0,2,2,3,2,61,1,1,0,1,0,0,0,male,232
3,18,4,5,1216,4,2,2,2,1,0,23,1,0,0,1,0,1,0,female,-93
1,24,4,8,1258,4,1,2,2,2,3,25,1,2,0,1,0,1,0,male,307
1,18,0,7,1864,0,0,2,2,0,3,30,1,2,1,1,0,0,0,female,-978
1,24,4,5,1474,0,2,2,2,1,3,33,1,2,0,1,0,1,0,female,36
3,24,0,8,1382,0,1,2,2,2,3,26,1,2,1,1,0,1,0,male,165
1,12,4,5,640,4,0,2,2,0,3,49,1,2,0,3,0,0,0,male,66
2,36,4,4,3919,4,0,1,2,0,3,23,1,2,0,1,0,1,0,male,979
1,9,0,5,1224,4,0,0,2,2,3,30,1,2,1,1,0,0,0,male,370
1,12,0,4,2331,1,3,3,0,3,3,49,1,2,0,1,0,1,0,male,282
1,24,4,1,6313,1,3,0,2,3,0,41,1,2,0,0,1,1,0,nonbinary/notreported,1436
3,12,0,4,385,4,1,2,2,1,3,58,1,2,3,3,0,1,0,female,62
1,12,0,4,1655,4,3,1,2,3,3,63,1,2,1,3,0,1,0,male,339
3,15,4,4,1053,4,2,2,2,0,3,27,1,2,0,1,0,0,1,female,87
1,21,4,4,3160,1,3,2,2,1,1,41,1,2,0,1,0,1,0,male,133
1,36,4,5,3079,1,0,2,2,3,3,36,1,2,0,1,0,0,0,male,112
1,12,0,5,1163,2,0,2,2,3,3,44,1,2,0,1,0,1,0,male,63
1,24,4,1,2679,4,2,2,2,2,2,29,1,2,0,0,0,1,0,female,570
1,48,0,4,3578,1,3,2,2,2,3,47,1,2,0,1,0,1,0,male,46
1,36,3,5,10875,4,3,1,2,0,0,45,1,2,1,1,1,1,0,male,2258
3,12,3,5,1344,4,0,2,2,0,3,43,1,2,1,3,1,0,0,male,130
1,6,0,4,1237,0,0,3,2,2,1,27,1,2,1,1,0,0,0,female,325
1,12,4,4,3077,4,0,1,2,3,0,52,1,2,0,1,0,1,0,male,335
1,24,4,4,2284,4,1,2,2,0,0,28,1,2,0,1,0,1,0,male,137
0,12,4,4,1567,4,0,3,2,2,0,22,1,2,0,1,0,1,0,female,23
1,24,3,5,2032,4,3,2,2,3,2,60,1,1,1,1,0,1,0,male,239
0,21,0,2,2745,3,1,0,2,0,0,32,1,2,1,1,0,1,0,male,484
1,30,4,4,1867,1,3,2,2,3,0,58,1,2,0,1,0,1,0,male,556
1,36,4,4,2299,2,3,2,2,3,0,39,1,2,0,1,0,0,0,male,87
1,24,4,2,929,1,1,2,2,0,0,31,2,2,0,1,0,1,0,male,163
2,12,4,4,3399,1,3,1,2,1,0,37,1,2,0,0,0,0,0,male,536
0,9,4,2,2030,1,1,1,2,2,0,24,1,2,0,1,0,1,0,male,254
1,21,0,1,3275,4,3,3,2,3,0,36,1,2,0,0,0,1,0,male,267
1,24,0,5,1940,3,3,2,2,3,3,60,1,2,0,1,0,1,0,male,306
3,21,0,5,1602,4,3,2,2,1,0,30,1,2,1,1,0,1,0,female,475
1,15,4,4,1979,1,3,2,2,0,0,35,1,2,0,1,0,0,0,male,353
1,24,0,5,2022,4,0,2,2,3,0,37,1,2,0,1,0,1,0,nonbinary/notreported,355
1,36,0,4,3342,1,3,2,2,0,0,51,1,2,0,1,0,1,0,male,194
0,18,4,5,5866,0,0,1,2,0,0,30,1,2,1,1,0,1,0,male,1916
2,15,0,1,2360,2,0,1,2,0,0,36,1,2,0,1,0,1,0,male,395
1,15,0,2,1520,1,3,2,2,3,1,63,1,2,0,1,0,0,0,male,626
3,12,4,5,3651,3,0,3,2,1,1,31,1,2,0,1,1,0,0,male,1537
1,24,0,1,2346,4,1,2,2,1,0,35,1,2,1,1,0,1,0,male,67
1,36,3,4,4454,4,0,2,2,3,3,34,1,2,1,1,0,0,0,female,1099
3,6,0,5,666,3,1,0,2,3,3,39,1,2,1,3,0,1,0,female,14
0,24,3,5,1965,1,0,2,2,3,0,42,1,0,1,1,0,1,0,female,403
0,12,0,5,1995,0,2,2,2,2,0,27,1,2,0,1,0,0,0,male,686
0,30,4,4,2991,1,3,1,2,3,0,25,1,2,0,1,0,0,0,female,636
0,30,2,8,4221,4,0,1,2,2,0,28,1,2,1,1,0,0,0,female,460
3,9,4,4,1364,4,1,0,2,3,3,59,1,2,0,1,0,0,0,male,141
0,18,0,2,6361,4,3,1,2,2,2,41,1,2,0,1,0,1,0,male,742
1,27,0,2,4526,3,2,2,2,0,3,32,2,2,1,3,1,1,0,nonbinary/notreported,962
0,12,0,4,3573,4,0,3,2,2,3,23,1,2,0,3,0,0,0,female,196
0,36,3,8,4455,4,0,1,2,0,3,30,2,2,1,0,0,1,0,male,-2048
3,9,4,2,2136,4,0,0,2,0,3,25,1,2,0,1,0,0,0,male,538
0,42,0,8,5954,4,1,1,2,2,3,41,0,2,1,3,0,0,0,female,1025
1,24,0,2,3777,3,0,2,2,3,3,40,1,2,0,1,0,1,0,male,821
3,15,4,8,806,4,0,2,2,3,1,22,1,2,0,3,0,0,0,female,122
0,24,3,8,4712,1,0,2,2,0,1,34,0,2,1,0,0,1,0,male,1392
0,36,3,5,7432,4,0,1,2,0,1,54,1,0,0,1,0,0,0,female,681
1,24,0,4,1851,4,1,2,1,0,0,33,1,2,1,1,0,1,0,female,167
1,24,4,5,1393,4,0,1,1,0,3,31,1,2,0,1,0,1,0,male,360
1,12,0,8,1412,4,0,2,1,0,3,29,1,2,1,0,0,1,0,female,94
